subscriber_id,churn_score,clv_predicted,uplift_score,segment
JIO10037241,0.6120065181121548,2499.0134143142936,0.1355043,Persuadable
JIO10033461,0.05010789569860766,2789.5116450477467,0.00021278858,Sure thing / Lost cause
JIO10058583,0.6915529569140787,1428.4008820797865,-0.09743309,Sleeping dog (do not disturb)
JIO10049015,0.04701937693269295,2604.3867392880957,0.00075149536,Sure thing / Lost cause
JIO10015616,0.15589483978400345,1197.6037962581188,0.016078055,Sure thing / Lost cause
JIO10022692,0.9892982264440094,1251.5786197273735,0.16291565,Persuadable
JIO10033384,0.04956204336232843,2786.4638166804034,0.00087052584,Sure thing / Lost cause
JIO10061590,0.045297667023498085,1557.9161545879458,0.0011255145,Sure thing / Lost cause
JIO10033850,0.3182627585332817,2141.0500955448333,-0.015401542,Sure thing / Lost cause
JIO10008412,0.025581724979631397,1381.1490812621016,0.000172019,Sure thing / Lost cause
JIO10013812,0.12651262555389708,1928.9511424048253,0.003723085,Sure thing / Lost cause
JIO10021746,0.04789345565979805,2191.029315601847,0.0013977289,Sure thing / Lost cause
JIO10063330,0.2104996171850806,2635.534835822879,0.0014551878,Sure thing / Lost cause
JIO10063430,0.0052821667732232515,4042.2129851572145,6.1392784e-05,Sure thing / Lost cause
JIO10043933,0.5378118862691563,2150.807911248692,-0.001006186,Sure thing / Lost cause
JIO10007240,0.059909738331808286,1252.2571186608382,-0.00023061037,Sure thing / Lost cause
JIO10033515,0.04598294163752937,2195.431140182261,0.0003361702,Sure thing / Lost cause
JIO10052756,0.5295956540133893,3166.249485995759,0.0010808706,Sure thing / Lost cause
JIO10020543,0.03771128755113362,1867.861532923625,-0.0009379983,Sure thing / Lost cause
JIO10014248,0.8623174997180268,1640.4618416677663,-0.36583677,Sleeping dog (do not disturb)
JIO10004121,0.04412432822877754,1728.189593369085,-0.009583533,Sure thing / Lost cause
JIO10019341,0.2660842053879212,3251.4031844105507,-0.0005065799,Sure thing / Lost cause
JIO10004450,0.02169398675379281,2733.3621784881793,0.0059063435,Sure thing / Lost cause
JIO10042324,0.9310888066023433,1920.10734930191,-0.3512649,Sleeping dog (do not disturb)
JIO10058715,0.5331723909456377,1187.3616096003127,0.058698654,Persuadable
JIO10000851,0.9852552377905697,1628.2230767120257,-0.01925835,Sure thing / Lost cause
JIO10029144,0.6520453211959297,1638.187327126701,0.4001884,Persuadable
JIO10056801,0.3578405167328975,1277.9918062501285,0.006327629,Sure thing / Lost cause
JIO10024106,0.13503167308892933,2659.1235129991264,-0.0078041553,Sure thing / Lost cause
JIO10037903,0.0018844029689872256,1870.4058522367986,9.179115e-06,Sure thing / Lost cause
JIO10037851,0.1301670895835611,1638.4578815593582,0.00039970875,Sure thing / Lost cause
JIO10019493,0.21191578009195067,2669.4055193917907,-0.0032598972,Sure thing / Lost cause
JIO10034576,0.5798148244043435,2463.9844740486888,0.011420965,Sure thing / Lost cause
JIO10058061,0.2829014595406635,1696.8081470774268,-0.001342535,Sure thing / Lost cause
JIO10040194,0.021456933820231457,2794.602939628634,0.0002629161,Sure thing / Lost cause
JIO10053173,0.23714425033963396,2022.0702929043678,-0.0040848255,Sure thing / Lost cause
JIO10044757,0.035431533598578514,4122.571620409689,0.00023931265,Sure thing / Lost cause
JIO10027536,0.08218606302589883,2111.827178682126,0.0015298128,Sure thing / Lost cause
JIO10048218,0.10777416712377329,3734.4164305973263,0.000795424,Sure thing / Lost cause
JIO10016904,0.0931826078456585,3577.6233212873803,0.0016260743,Sure thing / Lost cause
JIO10041436,0.6967917585913371,2989.2031738154324,0.275396,Persuadable
JIO10040066,0.0472183405901483,2535.3549608139747,0.00014787912,Sure thing / Lost cause
JIO10048029,0.013155547513264585,2683.3022266749094,0.00019830465,Sure thing / Lost cause
JIO10042129,0.08099956128044887,2237.1822574305943,0.002182126,Sure thing / Lost cause
JIO10035992,0.20285895266401766,2819.330386458628,0.014962554,Sure thing / Lost cause
JIO10023472,0.09220549773497581,1921.5760540870597,-0.0012071133,Sure thing / Lost cause
JIO10018465,0.8820421069214998,2617.487906861458,0.19130433,Persuadable
JIO10018947,0.01928937462060366,3344.6136637717404,0.00019234419,Sure thing / Lost cause
JIO10035765,0.01758178599808167,3462.808478845777,0.0021768808,Sure thing / Lost cause
JIO10052049,0.45981092794529743,2121.8230075856623,0.019216537,Sure thing / Lost cause
JIO10052596,0.06467641970788388,1442.9312348253222,0.0010233521,Sure thing / Lost cause
JIO10048911,0.02394802595865427,3794.2139779092777,0.00065404177,Sure thing / Lost cause
JIO10012208,0.09942728377873421,1269.5106378461462,0.00021648407,Sure thing / Lost cause
JIO10039649,0.6902032566924258,1839.1994548604753,-0.42547408,Sleeping dog (do not disturb)
JIO10018443,0.011853932346211724,2903.0273699558597,-0.00054979324,Sure thing / Lost cause
JIO10010413,0.08180872307923177,3049.3191533213826,5.0902367e-05,Sure thing / Lost cause
JIO10008456,0.039919873683849305,1527.008646125174,0.00019729137,Sure thing / Lost cause
JIO10042794,0.06897035316933185,2201.5556161661266,-0.0006545782,Sure thing / Lost cause
JIO10049758,0.012520871267181795,3043.16138806677,1.4662743e-05,Sure thing / Lost cause
JIO10025689,0.042780810775556316,2692.788183803316,0.0051400065,Sure thing / Lost cause
JIO10023430,0.16543056655900035,1913.9609123545904,-0.0004441738,Sure thing / Lost cause
JIO10018703,0.033416775510965585,3276.5191455467025,0.0011998415,Sure thing / Lost cause
JIO10045166,0.0810827258802216,1705.0007847134516,0.0024103522,Sure thing / Lost cause
JIO10052909,0.01694957000451638,2690.745720715827,1.9550323e-05,Sure thing / Lost cause
JIO10055357,0.011076129472951586,3322.894268404126,0.00017601252,Sure thing / Lost cause
JIO10062359,0.14338339441389195,1963.8087267564908,0.0013535023,Sure thing / Lost cause
