month_end,closing_base,churned_subscribers,weighted_churn_pct
2025-03-31,496811123.0,9266331.0,1.86516174276557
2025-04-30,498904501.0,9439773.0,1.8921001877271098
2025-05-31,501216466.0,9543320.0,1.904031620541373
2025-06-30,503585194.0,9855122.0,1.956992007989814
2025-07-31,505748281.0,9634017.0,1.9049035581398248
2025-08-31,507809369.0,9583428.0,1.887209765127433
2025-09-30,510009983.0,9580288.0,1.8784510733783029
2025-10-31,512142198.0,9659696.0,1.8861355376929905
2025-11-30,514278543.0,9836931.0,1.912763255222958
2025-12-31,516258706.0,9744473.0,1.8875174184471768
2026-01-31,518428443.0,9806145.0,1.8915136953625826
2026-02-28,520723012.0,9908319.0,1.9028002933736294
2026-03-31,522723837.0,9922707.0,1.898269468051827
2026-04-30,524934506.0,9771804.0,1.861528226532702
2026-05-31,527111839.0,9832339.0,1.865323119786729
2026-06-30,529624236.0,10041382.0,1.8959445806026143
2026-07-31,532006787.0,10071310.0,1.8930792324647543
2026-08-31,533929773.0,10325302.0,1.9338314741253435
