customer_id,total_spend
,9295.5
3694.0,1177.44
1319.0,919.56
1033.0,898.65
4268.0,727.92
262.0,714.78
4817.0,713.65
2953.0,658.24
1080.0,595.68
265.0,588.72
2234.0,586.23
3825.0,567.25
2625.0,454.88
2199.0,447.4
1125.0,440
2654.0,417.12
664.0,390.82
3339.0,390.6
668.0,386.55
751.0,363.8
2324.0,361.74
790.0,339.87
4153.0,331.45
3398.0,331.45
130.0,323.32
3244.0,321.44
3456.0,310.59
727.0,309.24
2907.0,303.56
1441.0,279.76
979.0,278.08
2512.0,269.04
2373.0,242.49
2260.0,240.06
2904.0,228.18
4755.0,226.9
3357.0,216.15
3151.0,213.08
872.0,210.78
969.0,209.6
2832.0,204.72
4379.0,199.2
